training_iter	round	epsilon	score	avg_loss_per_step	killed_self	avg_reward_per_step	invalid_actions_per_round	avg_invalid_actions_per_step	escaped_bombs
1	1	 0.1994	0	 5292.0907	True	-138.9062	11	 0.6875	0
2	2	 0.4955	0	 736.9590	True	-57.6190	16	 0.7619	0
3	3	 0.4926	0	 6895.8890	True	-166.2286	24	 0.6857	0
4	4	 0.4921	0	 69446.6964	True	-63.6324	20	 0.5882	2
5	5	 0.4990	0	 1002.5416	True	-36.5000	3	 0.6000	0
6	6	 0.4965	0	 555.9717	True	-29.5333	9	 0.6000	0
7	7	 0.4995	0	 367.5940	True	-31.5000	3	 0.6000	0
8	8	 0.4955	0	 1795.2070	True	-40.7500	8	 0.5714	0
9	9	 0.4985	0	 42.1563	True	-32.5000	3	 0.6000	0
10	10	 0.4970	0	 2874.3433	True	-25.5417	7	 0.5833	0
11	11	 0.4940	0	 7720.6965	True	-193.3929	13	 0.4643	0
12	12	 0.4990	0	 4131.0171	True	 8.2143	3	 0.4286	0
13	13	 0.4911	0	 35952.6997	True	-219.9324	21	 0.5676	2
14	14	 0.4965	0	 9303.0776	True	 183.1250	5	 0.4167	2
15	15	 0.4980	0	 4023.0326	True	-16.0500	5	 0.5000	0
16	16	 0.4886	0	 44290.5777	True	-173.1477	27	 0.6136	2
17	17	 0.4950	0	 6548.9314	True	-22.1786	7	 0.5000	0
18	18	 0.4980	0	 6253.9727	True	-22.0500	6	 0.6000	0
19	19	 0.4950	0	 314.3461	True	 59.6176	8	 0.4706	2
20	20	 0.4950	0	 52121.1644	True	-18.4688	6	 0.3750	0
21	21	 0.4980	0	 3634.1855	True	-44.3750	5	 0.6250	0
22	22	 0.4960	0	 2012.0926	True	-11.7917	6	 0.5000	0
23	23	 0.4940	0	 4462.7854	True	-176.7200	18	 0.7200	0
24	24	 0.4955	0	 1731.7822	True	-0.7692	3	 0.2308	0
25	25	 0.4886	0	 5580.2541	True	-90.5814	25	 0.5814	2
26	26	 0.4950	0	 5464.9752	True	-173.0952	19	 0.9048	0
27	27	 0.4985	0	 45191.0259	True	-36.5000	3	 0.6000	0
28	28	 0.4985	0	 10633.7231	True	-10.4167	4	 0.6667	0
29	29	 0.4970	0	 543.8500	True	-52.3077	9	 0.6923	0
30	30	 0.4975	0	 1792.7342	True	-23.6364	7	 0.6364	0
31	31	 0.4985	0	 1828.3336	True	-18.1111	7	 0.7778	0
32	32	 0.4985	0	 13271.1938	True	-4.5833	4	 0.6667	0
33	33	 0.4960	0	 658.9994	True	-39.6154	10	 0.7692	0
34	34	 0.4926	0	 10376.6457	True	-213.7568	23	 0.6216	0
35	35	 0.4975	0	 21752.2042	True	-22.5556	6	 0.6667	0
36	36	 0.4960	0	 1426.5592	True	-22.3077	7	 0.5385	0
37	37	 0.4985	0	 15598.1251	True	-17.8125	6	 0.7500	0
38	38	 0.4980	0	 8366.6898	True	-65.1250	7	 0.5833	0
39	39	 0.4926	0	 6326.8643	True	-234.1622	28	 0.7568	0
40	40	 0.4872	0	 8773.8820	True	-315.3643	45	 0.6429	0
41	41	 0.4940	0	 4357.6181	True	-106.8684	7	 0.3684	0
42	42	 0.4955	0	 12517.1075	True	-120.8235	12	 0.7059	0
43	43	 0.4985	0	 46421.1006	True	 1.2500	3	 0.5000	0
44	44	 0.4985	0	 14381.3580	True	-62.0500	8	 0.8000	0
45	45	 0.4921	0	 4015.1219	True	-231.4872	27	 0.6923	0
46	46	 0.4940	0	 5253.2363	True	-162.3810	14	 0.6667	0
47	47	 0.4980	0	 16185.4924	True	-30.3333	6	 0.6667	0
48	48	 0.4970	0	 10833.1087	True	-123.2500	12	 0.8571	0
49	49	 0.4930	0	 9065.1479	True	-194.3654	20	 0.7692	0
50	50	 0.4930	0	 5198.2557	True	-230.7073	29	 0.7073	0
51	51	 0.4852	0	 6121.7585	True	-244.1395	31	 0.7209	0
52	52	 0.4921	0	 89428.4217	True	-34.3594	17	 0.5312	2
53	53	 0.4975	0	 10675.0019	True	-1.5500	3	 0.3000	0
54	54	 0.4901	0	 5030.3806	True	-275.3509	47	 0.8246	0
55	55	 0.4980	0	 3873.1308	True	-12.5556	6	 0.6667	0
56	56	 0.4980	0	 4533.6069	True	 9.6429	3	 0.4286	0
57	57	 0.4990	0	 3703.7617	True	-28.0000	2	 0.4000	0
58	58	 0.4975	0	 2917.8815	True	-55.6154	9	 0.6923	0
59	59	 0.4980	0	 2010.9138	True	-115.7692	11	 0.8462	0
60	60	 0.4945	0	 6323.2595	True	-146.5217	16	 0.6957	0
61	61	 0.4833	0	 20124.6479	True	-422.5793	63	 0.7683	0
62	62	 0.4985	0	 3500.8133	True	-40.3333	7	 0.7778	0
63	63	 0.4965	0	 6401.3479	True	-161.7368	12	 0.6316	0
64	64	 0.4911	0	 10841.6620	True	-150.3500	20	 0.6667	0
65	65	 0.4980	0	 38882.7729	True	-35.9167	3	 0.5000	0
66	66	 0.4985	0	 29364.5195	True	-4.6875	5	 0.6250	0
67	67	 0.4990	0	 35252.0836	True	 5.5625	3	 0.3750	0
68	68	 0.4980	0	 24072.3961	True	 7.0833	3	 0.5000	0
69	69	 0.4970	0	 17887.9372	True	-31.5500	7	 0.7000	0
70	70	 0.4975	0	 2995.0131	True	-184.4211	17	 0.8947	0
71	71	 0.4985	0	 9011.5112	True	-90.1250	9	 0.7500	0
72	72	 0.4980	0	 15777.4484	True	 21.8750	1	 0.1250	0
73	73	 0.4906	0	 4648.7228	True	-219.2424	16	 0.4848	0
74	74	 0.4970	0	 4911.7312	True	-50.1250	8	 0.6667	0
75	75	 0.4965	0	 4101.2586	True	-112.7647	9	 0.5294	0
76	76	 0.4945	0	 3765.0785	True	-205.4107	21	 0.7500	0
77	77	 0.4935	0	 3738.6813	True	-223.1818	25	 0.7576	0
78	78	 0.4985	0	 4145.6079	True	-7.8125	5	 0.6250	0
79	79	 0.4985	0	 1651.8294	True	-30.3333	7	 0.7778	0
80	80	 0.4970	0	 4984.8056	True	-57.6923	7	 0.5385	0
81	81	 0.4975	0	 2238.4266	True	-15.9091	6	 0.5455	0
82	82	 0.4980	0	 7381.3607	True	-4.3750	4	 0.5000	0
83	83	 0.4960	0	 3271.0429	True	-187.5000	18	 0.8571	0
84	84	 0.4985	0	 6502.8865	True	-36.0714	5	 0.7143	0
85	85	 0.4975	0	 4787.6469	True	-146.2000	13	 0.8667	0
86	86	 0.4985	0	 2859.5621	True	-95.7500	9	 0.7500	0
87	87	 0.4975	0	 5166.2899	True	-15.0000	4	 0.3636	0
88	88	 0.4980	0	 2691.5311	True	-27.3000	6	 0.6000	0
89	89	 0.4970	0	 2867.5525	True	-25.1250	7	 0.5833	0
90	90	 0.4980	0	 1548.2951	True	-128.4286	10	 0.7143	0
91	91	 0.4965	0	 1194.3284	True	-104.5312	11	 0.6875	0
92	92	 0.4985	0	 3297.7091	True	-26.2500	3	 0.5000	0
93	93	 0.4975	0	 1740.1199	True	-9.7778	6	 0.6667	0
94	94	 0.4960	0	 3004.3669	True	-145.0250	16	 0.8000	0
95	95	 0.4985	0	 1719.6154	True	-160.9062	14	 0.8750	0
96	96	 0.4970	0	 2612.8198	True	 8.4375	3	 0.3750	0
97	97	 0.4990	0	 951.6472	True	-35.5000	3	 0.6000	0
98	98	 0.4970	0	 1387.4773	True	-21.8182	6	 0.5455	0
99	99	 0.4970	0	 13578.0234	True	-37.2083	9	 0.7500	0
100	100	 0.4975	0	 2474.9343	True	 10.0000	2	 0.2500	0
101	101	 0.4970	0	 744.7943	True	-29.0909	8	 0.7273	0
102	102	 0.4985	0	 3081.3143	True	-155.2941	13	 0.7647	0
103	103	 0.4965	0	 688.7229	True	-77.8929	9	 0.6429	0
104	104	 0.4975	0	 1083.7946	True	-14.3636	4	 0.3636	0
105	105	 0.4985	0	 1158.8577	True	 0.4167	3	 0.5000	0
106	106	 0.4990	0	 732.7526	True	-12.5000	2	 0.4000	0
107	107	 0.4965	0	 2157.7280	True	-39.2308	10	 0.7692	0
108	108	 0.4985	0	 2378.4066	True	-22.5556	6	 0.6667	0
109	109	 0.4950	0	 3092.0244	True	-154.6316	15	 0.7895	0
110	110	 0.4960	0	 4135.6076	True	-169.1739	19	 0.8261	0
111	111	 0.4916	0	 2885.6808	True	-168.5167	21	 0.7000	0
112	112	 0.4965	0	 1739.7567	True	-56.5333	9	 0.6000	0
113	113	 0.4891	0	 7775.2056	True	-273.3197	48	 0.7869	2
114	114	 0.4930	0	 3570.3145	True	-178.3793	22	 0.7586	0
115	115	 0.4980	0	 6443.3356	True	-30.0500	8	 0.8000	0
116	116	 0.4911	0	 4139.4669	True	-161.9219	19	 0.5938	0
117	117	 0.4916	0	 3354.3575	True	-157.5469	23	 0.7188	0
118	118	 0.4970	0	 1993.6835	True	-107.9688	10	 0.6250	0
119	119	 0.4872	0	 3759.2509	True	-220.2083	28	 0.7778	0
120	120	 0.4833	0	 18520.3017	True	-397.7971	43	 0.6232	0
121	121	 0.4960	0	 7771.4383	True	-47.8929	11	 0.7857	0
122	122	 0.4985	0	 2272.0314	True	-53.1818	8	 0.7273	0
123	123	 0.4990	0	 1700.7424	True	-35.5000	3	 0.6000	0
124	124	 0.4990	0	 10978.9035	True	 3.7500	3	 0.5000	0
125	125	 0.4926	0	 3634.4259	True	-150.5200	17	 0.6800	0
126	126	 0.4970	0	 5658.9195	True	-2.5556	5	 0.5556	0
127	127	 0.4980	0	 5609.1125	True	-5.3333	5	 0.5556	0
128	128	 0.4990	0	 10116.2781	True	-20.0000	6	 0.7500	0
129	129	 0.4980	0	 4734.8863	True	 1.3333	4	 0.4444	0
130	130	 0.4990	0	 11389.4421	True	-39.5000	3	 0.6000	0
131	131	 0.4960	0	 2917.2858	True	-130.9722	12	 0.6667	0
132	132	 0.4921	0	 2868.1264	True	-134.5652	15	 0.6522	0
133	133	 0.4990	0	 8084.3718	True	 20.3571	2	 0.2857	0
134	134	 0.4945	0	 4249.8029	True	-62.7895	10	 0.5263	0
135	135	 0.4960	0	 2883.7454	True	-201.6875	20	 0.8333	0
136	136	 0.4921	0	 4266.7347	True	-227.5143	28	 0.8000	0
137	137	 0.4970	0	 5548.1986	True	-52.8750	9	 0.7500	0
138	138	 0.4990	0	 4657.2471	True	-39.5833	4	 0.6667	0
139	139	 0.4965	0	 29142.3938	True	-33.6071	7	 0.5000	0
140	140	 0.4975	0	 1799.5542	True	-120.7500	11	 0.7857	0
141	141	 0.4990	0	 1609.3827	True	-39.5000	3	 0.6000	0
142	142	 0.4990	0	 7585.1173	True	-26.5000	3	 0.6000	0
143	143	 0.4980	0	 4882.8123	True	 8.2143	3	 0.4286	0
144	144	 0.4921	0	 4463.9122	True	-185.9844	18	 0.5625	0
145	145	 0.4955	0	 3224.4187	True	-189.6042	18	 0.7500	0
146	146	 0.4935	0	 3327.5490	True	-155.1481	16	 0.5926	0
147	147	 0.4960	0	 6017.5893	True	-184.1591	16	 0.7273	0
148	148	 0.4965	0	 2754.7094	True	-104.5312	9	 0.5625	0
149	149	 0.4990	0	 148.9415	True	-32.5000	3	 0.6000	0
150	150	 0.4960	0	 12996.2700	True	-30.6818	5	 0.4545	0
151	151	 0.4985	0	 3628.8034	True	-9.6429	5	 0.7143	0
152	152	 0.4872	0	 20163.9387	True	-187.1224	34	 0.6939	2
153	153	 0.4970	0	 4266.3667	True	-117.6923	11	 0.8462	0
154	154	 0.4985	0	 604.0194	True	-31.5000	3	 0.6000	0
155	155	 0.4975	0	 7029.3426	True	 16.8889	2	 0.2222	0
