training_iter	round	epsilon	score	avg_loss_per_step	killed_self	avg_reward_per_step	invalid_actions_per_round	avg_invalid_actions_per_step	steps_survived
20	1	 0.9802	0	 nan	True	-1.6850	7	 0.3500	20
50	2	 0.9522	0	 1.3584	True	-1.2618	11	 0.3667	30
55	3	 0.9474	0	 2.0648	True	-6.1000	2	 0.4000	5
61	4	 0.9427	0	 3.2736	True	-5.0804	3	 0.5000	6
80	5	 0.9268	1	 2.4086	True	-1.4613	5	 0.2632	19
85	6	 0.9222	0	 2.4892	True	-5.9961	1	 0.2000	5
102	7	 0.9084	0	 3.4264	True	-1.9703	5	 0.2941	17
107	8	 0.9039	0	 3.2648	True	-6.1000	2	 0.4000	5
131	9	 0.8860	1	 3.1318	True	-1.1819	7	 0.2917	24
139	10	 0.8798	0	 3.0389	True	-3.4828	2	 0.2500	8
145	11	 0.8772	0	 2.4883	True	-5.1609	4	 0.6667	6
150	12	 0.8754	0	 3.3019	True	-5.7896	0	 0.0000	5
165	13	 0.8650	0	 3.8844	True	-2.2335	7	 0.4667	15
172	14	 0.8598	0	 2.7545	True	-4.4345	3	 0.4286	7
177	15	 0.8563	0	 3.2005	True	-5.9978	2	 0.4000	5
186	16	 0.8487	0	 3.4577	True	-3.4942	5	 0.5556	9
194	17	 0.8427	0	 5.0585	True	-3.8424	3	 0.3750	8
205	18	 0.8344	0	 3.2392	True	-2.9016	3	 0.2727	11
211	19	 0.8302	0	 3.9201	True	-5.1694	4	 0.6667	6
216	20	 0.8261	0	 3.1400	True	-6.1500	3	 0.6000	5
225	21	 0.8195	0	 4.5432	True	-3.4440	3	 0.3333	9
264	22	 0.7929	1	 3.8791	True	-0.8579	17	 0.4359	39
281	23	 0.7803	0	 3.9101	True	-1.8492	3	 0.1765	17
290	24	 0.7748	0	 3.8515	True	-3.5277	5	 0.5556	9
316	25	 0.7640	1	 3.5886	True	-1.1933	11	 0.4231	26
369	26	 0.7363	0	 3.5566	True	-0.8108	21	 0.3962	53
377	27	 0.7311	2	 2.7542	True	-2.6250	3	 0.3750	8
391	28	 0.7246	1	 3.1357	True	-2.0159	8	 0.5714	14
409	29	 0.7174	0	 2.8813	True	-1.7035	3	 0.1667	18
418	30	 0.7124	1	 3.4513	True	-2.7289	1	 0.1111	9
427	31	 0.7095	0	 3.3648	True	-3.4972	5	 0.5556	9
432	32	 0.7060	0	 3.7864	True	-6.0500	1	 0.2000	5
439	33	 0.7046	0	 3.1062	True	-4.2036	1	 0.1429	7
466	34	 0.6913	1	 3.6276	True	-1.0953	7	 0.2593	27
480	35	 0.6851	0	 3.3958	True	-2.2647	4	 0.2857	14
496	36	 0.6756	0	 3.7545	True	-2.1063	8	 0.5000	16
505	37	 0.6709	0	 3.8945	True	-3.5555	6	 0.6667	9
516	38	 0.6655	0	 3.6576	True	-2.7683	3	 0.2727	11
570	39	 0.6426	1	 3.4921	True	-0.8132	31	 0.5741	54
584	40	 0.6381	1	 3.9342	True	-1.9257	5	 0.3571	14
592	41	 0.6343	0	 4.0186	True	-3.8745	3	 0.3750	8
604	42	 0.6305	0	 3.3504	True	-2.7694	8	 0.6667	12
618	43	 0.6267	0	 2.9333	True	-2.1406	2	 0.1429	14
633	44	 0.6211	1	 2.9922	True	-1.8333	2	 0.1333	15
640	45	 0.6186	0	 3.4971	True	-4.3536	1	 0.1429	7
674	46	 0.6070	2	 3.1442	True	-0.7268	10	 0.2941	34
696	47	 0.5997	0	 3.2983	True	-1.6636	10	 0.4545	22
724	48	 0.5908	1	 3.2516	True	-1.1289	10	 0.3571	28
738	49	 0.5867	1	 3.0081	True	-1.8262	3	 0.2143	14
750	50	 0.5808	1	 4.1651	True	-2.1656	3	 0.2500	12
791	51	 0.5710	0	 3.0128	True	-1.0806	16	 0.3902	41
797	52	 0.5676	0	 2.6313	True	-5.0750	2	 0.3333	6
838	53	 0.5553	1	 3.2570	True	-0.6558	16	 0.3902	41
872	54	 0.5476	0	 2.7462	True	-1.2193	24	 0.7059	34
915	55	 0.5346	0	 3.0806	True	-0.9087	15	 0.3488	43
953	56	 0.5234	3	 3.2075	True	-0.5505	11	 0.2895	38
988	57	 0.5146	0	 2.9055	True	-1.1413	22	 0.6286	35
1025	58	 0.5054	0	 2.8711	True	-1.0432	16	 0.4324	37
1030	59	 0.5034	1	 1.5432	True	-5.1000	3	 0.6000	5
1054	60	 0.4994	0	 2.9387	True	-1.4022	10	 0.4167	24
1066	61	 0.4959	1	 3.1922	True	-2.2374	5	 0.4167	12
1086	62	 0.4934	0	 2.7775	True	-1.6861	4	 0.2000	20
1094	63	 0.4910	0	 3.1192	True	-3.8681	4	 0.5000	8
1107	64	 0.4876	2	 3.1230	True	-1.5121	1	 0.0769	13
1136	65	 0.4793	0	 2.7621	True	-1.2787	14	 0.4828	29
1143	66	 0.4769	0	 2.0657	True	-4.4666	4	 0.5714	7
1154	67	 0.4741	1	 3.1837	True	-2.4130	5	 0.4545	11
1161	68	 0.4722	0	 3.3751	True	-4.5000	5	 0.7143	7
1179	69	 0.4666	0	 2.0636	True	-1.9420	12	 0.6667	18
1219	70	 0.4591	0	 3.0979	True	-1.0754	25	 0.6250	40
1271	71	 0.4469	1	 2.5659	True	-0.7881	25	 0.4808	52
1281	72	 0.4456	0	 2.4911	True	-3.2496	7	 0.7000	10
1310	73	 0.4403	0	 2.4156	True	-1.3343	19	 0.6552	29
1343	74	 0.4328	0	 2.5339	True	-1.1194	13	 0.3939	33
1354	75	 0.4307	0	 2.5381	True	-2.7701	3	 0.2727	11
1378	76	 0.4268	0	 3.2387	True	-1.3562	7	 0.2917	24
1385	77	 0.4260	0	 3.0944	True	-4.5714	6	 0.8571	7
1404	78	 0.4226	0	 2.4982	True	-1.9200	14	 0.7368	19
1415	79	 0.4192	0	 3.3362	True	-3.0427	9	 0.8182	11
1521	80	 0.4011	9	 2.7890	True	-0.1131	41	 0.3868	106
1541	81	 0.3983	1	 2.9904	True	-1.2151	2	 0.1000	20
1551	82	 0.3960	0	 2.6218	True	-3.2451	6	 0.6000	10
1624	83	 0.3866	0	 2.5916	True	-0.2837	32	 0.4384	73
1629	84	 0.3850	0	 2.8949	True	-6.0903	3	 0.6000	5
