training_iter	round	epsilon	score	avg_loss_per_step	killed_self	avg_reward_per_step	invalid_actions_per_round	avg_invalid_actions_per_step	steps_survived
17	2	 0.9831	0	 nan	True	-0.1006	8	 0.4706	17
23	3	 0.9773	0	 nan	True	-0.2317	1	 0.1667	6
28	4	 0.9724	0	 nan	True	-0.2940	2	 0.4000	5
33	5	 0.9675	0	 2.0129	True	-0.2840	2	 0.4000	5
40	6	 0.9608	0	 1.3884	True	-0.2286	4	 0.5714	7
49	7	 0.9522	0	 1.2193	True	-0.1822	4	 0.4444	9
68	8	 0.9380	0	 0.7684	True	-0.0958	9	 0.4737	19
75	9	 0.9314	0	 0.5864	True	-0.2243	3	 0.4286	7
86	10	 0.9212	0	 0.4314	True	-0.1373	4	 0.3636	11
91	11	 0.9166	0	 0.4296	True	-0.2900	3	 0.6000	5
105	12	 0.9048	0	 0.6949	True	-0.1229	7	 0.5000	14
110	13	 0.9003	0	 0.8059	True	-0.2800	3	 0.6000	5
118	14	 0.8940	0	 0.3534	True	-0.1837	4	 0.5000	8
134	15	 0.8824	0	 0.5587	True	-0.0987	6	 0.3750	16
139	16	 0.8780	0	 0.6237	True	-0.3000	3	 0.6000	5
152	17	 0.8676	0	 0.4121	True	-0.1331	7	 0.5385	13
169	18	 0.8555	0	 0.3629	True	-0.1088	8	 0.4706	17
180	19	 0.8478	0	 0.5298	True	-0.1409	5	 0.4545	11
192	20	 0.8385	0	 0.5452	True	-0.1483	6	 0.5000	12
198	21	 0.8344	0	 0.6116	True	-0.2450	3	 0.5000	6
206	22	 0.8277	0	 0.4879	True	-0.1900	4	 0.5000	8
214	23	 0.8219	0	 0.5191	True	-0.1862	3	 0.3750	8
222	24	 0.8154	0	 0.6774	True	-0.1850	2	 0.2500	8
231	25	 0.8089	0	 0.6763	True	-0.1800	6	 0.6667	9
243	26	 0.8016	0	 0.7171	True	-0.1450	6	 0.5000	12
250	27	 0.7984	0	 0.8456	True	-0.2286	6	 0.8571	7
