training_iter	round	epsilon	score	avg_loss_per_step	killed_self	avg_reward_per_step	invalid_actions_per_round	avg_invalid_actions_per_step	steps_survived
6	2	 0.9940	1	 nan	True	-0.2533	3	 0.5000	6
12	3	 0.9881	1	 nan	True	-0.2383	2	 0.3333	6
32	4	 0.9685	1	 0.5606	True	-0.0940	9	 0.4500	20
46	5	 0.9550	0	 1.4636	True	-0.1227	5	 0.3571	14
74	6	 0.9305	0	 0.3436	True	-0.0752	12	 0.4286	28
93	7	 0.9139	0	 0.8460	True	-0.0986	7	 0.3684	19
102	8	 0.9057	0	 0.7843	True	-0.1811	2	 0.2222	9
107	9	 0.9012	0	 0.6631	True	-0.3180	2	 0.4000	5
117	10	 0.8922	1	 0.5231	True	-0.1519	3	 0.3000	10
126	11	 0.8842	0	 0.4538	True	-0.1877	4	 0.4444	9
135	12	 0.8772	0	 0.5416	True	-0.1930	4	 0.4444	9
140	13	 0.8737	0	 0.3852	True	-0.3200	3	 0.6000	5
148	14	 0.8667	0	 0.2950	True	-0.1908	2	 0.2500	8
157	15	 0.8598	0	 0.3056	True	-0.1831	4	 0.4444	9
164	16	 0.8538	0	 0.3142	True	-0.2343	3	 0.4286	7
198	17	 0.8319	2	 0.3791	True	-0.0511	8	 0.2353	34
203	18	 0.8277	0	 0.3692	True	-0.3200	3	 0.6000	5
213	19	 0.8211	0	 0.3174	True	-0.1700	5	 0.5000	10
228	20	 0.8129	1	 0.3508	True	-0.1096	6	 0.4000	15
236	21	 0.8097	0	 0.3400	True	-0.2094	5	 0.6250	8
257	22	 0.7968	0	 0.2736	True	-0.0822	6	 0.2857	21
272	23	 0.7881	0	 0.3177	True	-0.1426	8	 0.5333	15
278	24	 0.7834	0	 0.4607	True	-0.2713	4	 0.6667	6
287	25	 0.7795	0	 0.3880	True	-0.1911	5	 0.5556	9
294	26	 0.7756	0	 0.3881	True	-0.2457	5	 0.7143	7
306	27	 0.7686	0	 0.3457	True	-0.1289	5	 0.4167	12
335	28	 0.7519	0	 0.3221	True	-0.0841	17	 0.5862	29
348	29	 0.7429	0	 0.3939	True	-0.1223	5	 0.3846	13
355	30	 0.7392	0	 0.6794	True	-0.2371	5	 0.7143	7
364	31	 0.7355	0	 0.7688	True	-0.1943	6	 0.6667	9
378	32	 0.7275	0	 0.6688	True	-0.1158	3	 0.2143	14
385	33	 0.7239	0	 0.5830	True	-0.2379	3	 0.4286	7
390	34	 0.7217	0	 0.6164	True	-0.2760	1	 0.2000	5
397	35	 0.7181	0	 0.8482	True	-0.2457	5	 0.7143	7
411	36	 0.7088	0	 0.9072	True	-0.1285	7	 0.5000	14
420	37	 0.7039	0	 0.7778	True	-0.1697	2	 0.2222	9
426	38	 0.7003	0	 0.6743	True	-0.2785	4	 0.6667	6
436	39	 0.6962	0	 0.8572	True	-0.1663	4	 0.4000	10
444	40	 0.6913	0	 0.6159	True	-0.2036	4	 0.5000	8
454	41	 0.6872	1	 0.7645	True	-0.1635	6	 0.6000	10
460	42	 0.6837	0	 0.6982	True	-0.2716	4	 0.6667	6
465	43	 0.6817	0	 0.5741	True	-0.3090	2	 0.4000	5
476	44	 0.6762	0	 0.4677	True	-0.1526	5	 0.4545	11
485	45	 0.6722	0	 0.5589	True	-0.1943	6	 0.6667	9
490	46	 0.6702	0	 0.4858	True	-0.3044	1	 0.2000	5
496	47	 0.6668	0	 1.2081	True	-0.2716	4	 0.6667	6
501	48	 0.6648	0	 0.7798	True	-0.3160	3	 0.6000	5
507	49	 0.6629	0	 0.6737	True	-0.2666	3	 0.5000	6
514	50	 0.6602	0	 0.5364	True	-0.2355	4	 0.5714	7
532	51	 0.6523	0	 0.5866	True	-0.1089	7	 0.3889	18
540	52	 0.6491	0	 0.6927	True	-0.1962	2	 0.2500	8
545	53	 0.6471	0	 0.6440	True	-0.3019	2	 0.4000	5
550	54	 0.6458	0	 0.5766	True	-0.3180	2	 0.4000	5
556	55	 0.6426	0	 0.5959	True	-0.2715	4	 0.6667	6
578	56	 0.6349	0	 0.7639	True	-0.1018	15	 0.6818	22
