training_iter	round	epsilon	score	avg_loss_per_step	killed_self	avg_reward_per_step	invalid_actions_per_round	avg_invalid_actions_per_step	steps_survived
11	2	 0.9891	0	 nan	True	-0.1845	4	 0.3636	11
16	3	 0.9841	0	 nan	True	-0.3700	3	 0.6000	5
26	4	 0.9743	0	 nan	True	-0.2090	6	 0.6000	10
33	5	 0.9675	0	 nan	True	-0.2700	2	 0.2857	7
39	6	 0.9617	0	 nan	True	-0.3117	2	 0.3333	6
51	7	 0.9503	0	 nan	True	-0.1742	6	 0.5000	12
56	8	 0.9455	0	 nan	True	-0.3640	2	 0.4000	5
61	9	 0.9408	0	 nan	True	-0.3740	2	 0.4000	5
71	10	 0.9314	0	 nan	True	-0.2040	6	 0.6000	10
77	11	 0.9259	0	 nan	True	-0.3283	3	 0.5000	6
83	12	 0.9203	0	 nan	True	-0.3283	3	 0.5000	6
95	13	 0.9093	0	 nan	True	-0.1783	7	 0.5833	12
101	14	 0.9039	0	 nan	True	-0.3117	4	 0.6667	6
107	15	 0.8994	0	 nan	True	-0.3117	3	 0.5000	6
112	16	 0.8958	0	 nan	True	-0.3780	1	 0.2000	5
126	17	 0.8842	0	 nan	True	-0.1557	8	 0.5714	14
131	18	 0.8798	0	 1.3345	True	-0.3580	1	 0.2000	5
136	19	 0.8754	0	 0.5261	True	-0.3840	3	 0.6000	5
148	20	 0.8676	0	 0.2943	True	-0.1808	6	 0.5000	12
154	21	 0.8632	0	 0.1820	True	-0.3250	3	 0.5000	6
171	22	 0.8487	0	 0.1472	True	-0.1288	8	 0.4706	17
196	23	 0.8310	0	 0.1190	True	-0.0960	14	 0.5600	25
208	24	 0.8244	0	 0.0746	True	-0.1800	6	 0.5000	12
230	25	 0.8097	0	 0.0595	True	-0.1045	12	 0.5455	22
236	26	 0.8073	0	 0.0605	True	-0.3033	1	 0.1667	6
241	27	 0.8032	0	 0.0576	True	-0.3700	3	 0.6000	5
256	28	 0.7944	0	 0.0457	True	-0.1467	7	 0.4667	15
271	29	 0.7826	0	 0.0492	True	-0.1387	7	 0.4667	15
281	30	 0.7748	0	 0.0512	True	-0.1990	4	 0.4000	10
290	31	 0.7710	0	 0.1044	True	-0.2289	5	 0.5556	9
303	32	 0.7656	0	 0.0874	True	-0.1631	9	 0.6923	13
309	33	 0.7625	0	 0.0517	True	-0.3167	4	 0.6667	6
329	34	 0.7497	0	 0.0406	True	-0.1110	8	 0.4000	20
334	35	 0.7467	0	 0.0486	True	-0.3900	3	 0.6000	5
342	36	 0.7429	0	 0.0648	True	-0.2275	3	 0.3750	8
353	37	 0.7363	0	 0.0472	True	-0.2018	8	 0.7273	11
361	38	 0.7319	0	 0.0455	True	-0.2350	2	 0.2500	8
379	39	 0.7224	0	 0.0665	True	-0.1367	12	 0.6667	18
388	40	 0.7174	0	 0.0635	True	-0.2267	5	 0.5556	9
393	41	 0.7152	0	 0.0394	True	-0.3780	1	 0.2000	5
398	42	 0.7138	0	 0.0391	True	-0.3680	2	 0.4000	5
409	43	 0.7074	0	 0.0479	True	-0.1809	4	 0.3636	11
425	44	 0.7018	0	 0.0455	True	-0.1412	6	 0.3750	16
430	45	 0.6982	0	 0.0368	True	-0.4000	3	 0.6000	5
435	46	 0.6955	0	 0.0448	True	-0.3900	3	 0.6000	5
443	47	 0.6906	0	 0.0533	True	-0.1950	2	 0.2500	8
450	48	 0.6872	0	 0.0558	True	-0.2886	4	 0.5714	7
456	49	 0.6844	0	 0.0519	True	-0.3200	3	 0.5000	6
461	50	 0.6817	0	 0.0490	True	-0.3900	3	 0.6000	5
469	51	 0.6783	0	 0.0347	True	-0.2587	5	 0.6250	8
476	52	 0.6756	0	 0.0646	True	-0.2886	4	 0.5714	7
485	53	 0.6715	0	 0.0856	True	-0.2189	5	 0.5556	9
491	54	 0.6688	0	 0.0922	True	-0.3250	4	 0.6667	6
502	55	 0.6648	0	 0.0712	True	-0.2000	6	 0.5455	11
521	56	 0.6543	0	 0.0752	True	-0.1252	8	 0.4211	19
528	57	 0.6523	0	 0.0528	True	-0.2857	4	 0.5714	7
536	58	 0.6478	0	 0.0426	True	-0.2425	3	 0.3750	8
541	59	 0.6445	0	 0.0456	True	-0.3900	4	 0.8000	5
557	60	 0.6394	0	 0.0424	True	-0.1294	4	 0.2500	16
563	61	 0.6368	0	 0.0309	True	-0.3367	4	 0.6667	6
570	62	 0.6337	0	 0.0422	True	-0.2686	2	 0.2857	7
579	63	 0.6318	0	 0.0550	True	-0.2211	3	 0.3333	9
595	64	 0.6236	0	 0.0466	True	-0.1243	6	 0.3750	16
604	65	 0.6199	0	 0.0513	True	-0.2233	4	 0.4444	9
611	66	 0.6180	0	 0.0425	True	-0.2914	4	 0.5714	7
622	67	 0.6155	0	 0.0417	True	-0.1891	6	 0.5455	11
642	68	 0.6070	0	 0.0299	True	-0.1235	10	 0.5000	20
650	69	 0.6052	0	 0.0368	True	-0.2338	4	 0.5000	8
655	70	 0.6027	0	 0.0370	True	-0.3640	3	 0.6000	5
663	71	 0.5997	0	 0.0454	True	-0.2425	3	 0.3750	8
670	72	 0.5967	0	 0.0564	True	-0.2857	4	 0.5714	7
675	73	 0.5956	0	 0.0423	True	-0.3640	2	 0.4000	5
696	74	 0.5867	0	 0.0437	True	-0.1271	17	 0.8095	21
703	75	 0.5849	0	 0.0221	True	-0.2700	3	 0.4286	7
709	76	 0.5820	0	 0.0222	True	-0.3150	3	 0.5000	6
715	77	 0.5803	0	 0.0268	True	-0.3100	1	 0.1667	6
722	78	 0.5779	0	 0.0342	True	-0.2814	4	 0.5714	7
739	79	 0.5716	0	 0.0208	True	-0.1371	10	 0.5882	17
744	80	 0.5693	0	 0.0309	True	-0.3740	3	 0.6000	5
749	81	 0.5671	0	 0.0259	True	-0.3640	3	 0.6000	5
754	82	 0.5665	0	 0.0197	True	-0.4000	4	 0.8000	5
763	83	 0.5637	0	 0.0202	True	-0.2233	4	 0.4444	9
768	84	 0.5625	0	 0.0345	True	-0.3740	2	 0.4000	5
777	85	 0.5597	0	 0.0388	True	-0.2222	4	 0.4444	9
783	86	 0.5569	0	 0.0478	True	-0.3150	2	 0.3333	6
792	87	 0.5536	0	 0.0730	True	-0.2389	7	 0.7778	9
800	88	 0.5503	0	 0.0546	True	-0.2400	4	 0.5000	8
808	89	 0.5476	0	 0.0381	True	-0.2625	5	 0.6250	8
814	90	 0.5459	0	 0.0367	True	-0.3333	4	 0.6667	6
820	91	 0.5432	0	 0.0499	True	-0.3250	3	 0.5000	6
826	92	 0.5421	0	 0.0561	True	-0.3100	0	 0.0000	6
838	93	 0.5383	0	 0.0402	True	-0.1708	5	 0.4167	12
846	94	 0.5356	0	 0.0396	True	-0.2538	4	 0.5000	8
858	95	 0.5319	0	 0.0531	True	-0.1867	8	 0.6667	12
863	96	 0.5303	0	 0.0374	True	-0.3680	1	 0.2000	5
868	97	 0.5292	0	 0.0451	True	-0.3800	3	 0.6000	5
885	98	 0.5224	0	 0.0477	True	-0.1271	8	 0.4706	17
892	99	 0.5198	0	 0.0570	True	-0.2714	3	 0.4286	7
898	100	 0.5177	0	 0.0620	True	-0.3333	4	 0.6667	6
905	101	 0.5177	0	 0.1174	True	-0.3000	6	 0.8571	7
910	102	 0.5167	0	 0.1246	True	-0.3800	3	 0.6000	5
915	103	 0.5156	0	 0.1460	True	-0.3700	3	 0.6000	5
920	104	 0.5146	0	 0.1267	True	-0.3800	3	 0.6000	5
927	105	 0.5120	0	 0.0591	True	-0.2700	2	 0.2857	7
938	106	 0.5095	0	 0.0474	True	-0.1918	6	 0.5455	11
951	107	 0.5059	0	 0.0404	True	-0.1608	7	 0.5385	13
963	108	 0.5029	0	 0.0328	True	-0.1742	6	 0.5000	12
970	109	 0.5014	0	 0.0382	True	-0.3000	6	 0.8571	7
977	110	 0.4999	0	 0.0299	True	-0.2814	4	 0.5714	7
984	111	 0.4979	0	 0.0265	True	-0.2786	5	 0.7143	7
989	112	 0.4964	0	 0.0183	True	-0.3740	2	 0.4000	5
996	113	 0.4949	0	 0.0181	True	-0.2657	2	 0.2857	7
1010	114	 0.4905	0	 0.0153	True	-0.1457	6	 0.4286	14
1015	115	 0.4905	0	 0.0201	True	-0.3740	3	 0.6000	5
1020	116	 0.4890	0	 0.0215	True	-0.3800	3	 0.6000	5
1057	117	 0.4822	0	 0.0204	True	-0.0922	27	 0.7297	37
1072	118	 0.4808	0	 0.0313	True	-0.1500	11	 0.7333	15
1077	119	 0.4793	0	 0.0394	True	-0.3840	2	 0.4000	5
1086	120	 0.4765	0	 0.0404	True	-0.2211	3	 0.3333	9
1094	121	 0.4741	0	 0.0419	True	-0.2450	4	 0.5000	8
1108	122	 0.4703	0	 0.0609	True	-0.1600	8	 0.5714	14
1127	123	 0.4656	0	 0.0533	True	-0.1226	8	 0.4211	19
1134	124	 0.4638	0	 0.0336	True	-0.2929	6	 0.8571	7
1165	125	 0.4578	0	 0.0426	True	-0.1148	15	 0.4839	31
1170	126	 0.4569	0	 0.0569	True	-0.3700	3	 0.6000	5
1175	127	 0.4559	0	 0.0470	True	-0.3800	3	 0.6000	5
1184	128	 0.4537	0	 0.0474	True	-0.2189	5	 0.5556	9
1189	129	 0.4532	0	 0.0406	True	-0.3800	3	 0.6000	5
1213	130	 0.4483	0	 0.0586	True	-0.0812	7	 0.2917	24
1221	131	 0.4469	0	 0.0413	True	-0.2388	3	 0.3750	8
1234	132	 0.4442	0	 0.0423	True	-0.1638	5	 0.3846	13
1239	133	 0.4429	0	 0.0401	True	-0.3640	2	 0.4000	5
1244	134	 0.4425	0	 0.0449	True	-0.3640	2	 0.4000	5
1254	135	 0.4411	0	 0.0626	True	-0.2020	5	 0.5000	10
1259	136	 0.4398	0	 0.0597	True	-0.3880	1	 0.2000	5
1264	137	 0.4389	0	 0.0600	True	-0.3620	1	 0.2000	5
1270	138	 0.4376	0	 0.1079	True	-0.3167	4	 0.6667	6
1275	139	 0.4363	0	 0.1091	True	-0.3680	1	 0.2000	5
1282	140	 0.4346	0	 0.1195	True	-0.2771	3	 0.4286	7
1289	141	 0.4328	0	 0.1215	True	-0.3000	5	 0.7143	7
1297	142	 0.4315	0	 0.0926	True	-0.2550	5	 0.6250	8
1303	143	 0.4298	0	 0.0754	True	-0.3167	4	 0.6667	6
1308	144	 0.4294	0	 0.0748	True	-0.3640	1	 0.2000	5
1313	145	 0.4289	0	 0.0719	True	-0.3700	3	 0.6000	5
1318	146	 0.4277	0	 0.0818	True	-0.3840	2	 0.4000	5
1325	147	 0.4268	0	 0.0803	True	-0.2857	5	 0.7143	7
1339	148	 0.4243	0	 0.0985	True	-0.1543	7	 0.5000	14
1360	149	 0.4192	0	 0.0652	True	-0.1119	10	 0.4762	21
1420	150	 0.4076	0	 0.0543	True	-0.0627	36	 0.6000	60
1460	151	 0.4027	0	 0.0436	True	-0.0888	23	 0.5750	40
1466	152	 0.4019	0	 0.0442	True	-0.3283	4	 0.6667	6
1474	153	 0.4003	0	 0.0623	True	-0.2563	6	 0.7500	8
1479	154	 0.3995	0	 0.0865	True	-0.3700	3	 0.6000	5
1507	155	 0.3963	0	 0.0544	True	-0.1014	13	 0.4643	28
1516	156	 0.3940	0	 0.0443	True	-0.2333	7	 0.7778	9
1528	157	 0.3932	0	 0.0439	True	-0.1825	8	 0.6667	12
1533	158	 0.3920	0	 0.0359	True	-0.3700	3	 0.6000	5
1538	159	 0.3912	0	 0.0378	True	-0.3800	3	 0.6000	5
1569	160	 0.3862	0	 0.0406	True	-0.0939	22	 0.7097	31
1576	161	 0.3846	0	 0.0346	True	-0.3029	5	 0.7143	7
1583	162	 0.3835	0	 0.0350	True	-0.2657	1	 0.1429	7
1589	163	 0.3827	0	 0.0244	True	-0.3233	2	 0.3333	6
1595	164	 0.3823	0	 0.0269	True	-0.3200	2	 0.3333	6
1606	165	 0.3789	0	 0.0270	True	-0.1855	6	 0.5455	11
1630	166	 0.3766	0	 0.0533	True	-0.1125	17	 0.7083	24
1637	167	 0.3763	0	 0.1181	True	-0.2929	5	 0.7143	7
1642	168	 0.3759	0	 0.1350	True	-0.3620	1	 0.2000	5
1649	169	 0.3740	0	 0.1028	True	-0.2743	3	 0.4286	7
1654	170	 0.3733	0	 0.1033	True	-0.3700	3	 0.6000	5
1661	171	 0.3721	0	 0.0665	True	-0.2657	1	 0.1429	7
1683	172	 0.3692	0	 0.0730	True	-0.1100	10	 0.4545	22
1704	173	 0.3673	0	 0.0588	True	-0.1243	16	 0.7619	21
1725	174	 0.3640	0	 0.1171	True	-0.1348	13	 0.6190	21
1734	175	 0.3633	0	 0.1210	True	-0.2300	6	 0.6667	9
1739	176	 0.3626	0	 0.1600	True	-0.3780	1	 0.2000	5
1754	177	 0.3611	0	 0.1441	True	-0.1547	12	 0.8000	15
1759	178	 0.3601	0	 0.1308	True	-0.3700	3	 0.6000	5
1768	179	 0.3586	0	 0.1804	True	-0.2189	6	 0.6667	9
1773	180	 0.3583	0	 0.3009	True	-0.3740	3	 0.6000	5
1817	181	 0.3526	0	 0.3269	True	-0.0759	26	 0.5909	44
1822	182	 0.3519	0	 0.2776	True	-0.3900	3	 0.6000	5
1834	183	 0.3494	0	 0.3328	True	-0.1725	5	 0.4167	12
1841	184	 0.3484	0	 0.1498	True	-0.2700	3	 0.4286	7
1863	185	 0.3470	0	 0.2600	True	-0.1109	11	 0.5000	22
1880	186	 0.3452	0	 0.1828	True	-0.1353	10	 0.5882	17
1890	187	 0.3449	0	 0.1996	True	-0.2220	7	 0.7000	10
1908	188	 0.3425	0	 0.1912	True	-0.1311	12	 0.6667	18
1923	189	 0.3415	0	 0.1451	True	-0.1567	11	 0.7333	15
1931	190	 0.3401	0	 0.1468	True	-0.2463	4	 0.5000	8
1941	191	 0.3391	0	 0.1326	True	-0.2170	7	 0.7000	10
1946	192	 0.3391	0	 0.0942	True	-0.3740	2	 0.4000	5
1956	193	 0.3381	0	 0.0795	True	-0.2140	5	 0.5000	10
1966	194	 0.3370	0	 0.0830	True	-0.2170	7	 0.7000	10
1974	195	 0.3360	0	 0.0953	True	-0.2500	6	 0.7500	8
1994	196	 0.3334	0	 0.0747	True	-0.1150	11	 0.5500	20
