training_iter	round	epsilon	score	avg_loss_per_step	killed_self	avg_reward_per_step	invalid_actions_per_round	avg_invalid_actions_per_step	steps_survived
7	2	 0.9930	1	 nan	True	-0.2886	4	 0.5714	7
17	3	 0.9831	0	 nan	True	-0.2130	3	 0.3000	10
26	4	 0.9743	0	 nan	True	-0.2276	3	 0.3333	9
46	5	 0.9550	0	 nan	True	-0.1234	10	 0.5000	20
60	6	 0.9436	0	 nan	True	-0.1541	6	 0.4286	14
66	7	 0.9380	0	 nan	True	-0.3379	2	 0.3333	6
78	8	 0.9277	0	 nan	True	-0.1891	7	 0.5833	12
87	9	 0.9203	0	 nan	True	-0.1444	1	 0.1111	9
95	10	 0.9130	0	 nan	True	-0.2649	4	 0.5000	8
102	11	 0.9075	0	 nan	True	-0.2929	2	 0.2857	7
109	12	 0.9030	0	 nan	True	-0.2935	2	 0.2857	7
121	13	 0.8940	1	 nan	True	-0.1731	5	 0.4167	12
128	14	 0.8878	0	 0.3214	True	-0.2972	3	 0.4286	7
139	15	 0.8789	0	 0.8746	True	-0.2017	7	 0.6364	11
159	16	 0.8632	0	 0.3122	True	-0.1190	7	 0.3500	20
173	17	 0.8546	0	 0.1643	True	-0.1608	6	 0.4286	14
180	18	 0.8487	0	 0.1122	True	-0.2957	3	 0.4286	7
187	19	 0.8436	0	 0.1012	True	-0.3086	5	 0.7143	7
193	20	 0.8385	0	 0.0828	True	-0.3433	3	 0.5000	6
201	21	 0.8327	0	 0.0893	True	-0.2637	4	 0.5000	8
212	22	 0.8252	0	 0.1045	True	-0.1899	4	 0.3636	11
237	23	 0.8089	0	 0.1272	True	-0.0646	5	 0.2000	25
244	24	 0.8040	0	 0.1311	True	-0.3014	4	 0.5714	7
251	25	 0.7984	0	 0.0953	True	-0.2986	3	 0.4286	7
271	26	 0.7865	1	 0.0716	True	-0.1394	8	 0.4000	20
282	27	 0.7787	0	 0.0503	True	-0.1991	5	 0.4545	11
287	28	 0.7771	0	 0.0551	True	-0.4140	3	 0.6000	5
293	29	 0.7725	0	 0.0566	True	-0.3467	4	 0.6667	6
304	30	 0.7656	0	 0.0618	True	-0.1925	4	 0.3636	11
319	31	 0.7557	0	 0.0664	True	-0.1478	6	 0.4000	15
333	32	 0.7474	1	 0.0628	True	-0.1466	5	 0.3571	14
339	33	 0.7444	0	 0.0501	True	-0.3533	4	 0.6667	6
345	34	 0.7400	0	 0.0433	True	-0.3433	3	 0.5000	6
355	35	 0.7363	0	 0.0440	True	-0.2170	4	 0.4000	10
360	36	 0.7326	0	 0.0583	True	-0.4019	2	 0.4000	5
367	37	 0.7297	0	 0.0620	True	-0.2991	3	 0.4286	7
